firstname,male,female
Ayanna,false,true
Ayat,false,true
Ayaz,true,false
Aydan,true,false
Ayden,true,false
Aydin,true,false
Ayla,false,true
Aylan,true,false
Aylane,true,false
Ayleen,false,true
Aylin,false,true
Ayline,false,true
Ayman,true,false
Aymane,true,false
Aymen,true,false
Aymeric,true,false
Aymerick,true,false
Ayna,false,true
Ayoub,true,false
Ayron,true,false
Ayrton,true,false
Ayse,false,true
Aysha,false,true
Azad,true,false
Azelie,false,true
Azilis,false,true
Aziliz,false,true
Azilys,false,true
Aziz,true,false
Azra,false,true
Bachir,true,false
Badis,true,false
Badr,true,false
Bahia,false,true
Bakary,true,false
Balthazar,true,false
Baptiste,true,false
Baran,true,false
Barbara,false,true
Barnabe,true,false
Barthelemy,true,false
Basile,true,false
Basma,false,true
Bastian,true,false
Bastien,true,false
Batiste,true,false
Baudouin,true,false
Baya,false,true
Bayane,false,true
Beatrice,false,true
Beatriz,false,true
Belinay,false,true
Belinda,false,true
Bella,false,true
Ben,true,false
Benedicte,false,true
Benjamin,true,false
Benoit,true,false
Berat,true,false
Berenice,false,true
Bertille,false,true
Beryl,true,true
Betty,false,true
Betul,false,true
Beverly,false,true
Beyza,false,true
Bianca,false,true
Bilal,true,false
Bilel,true,false
Billal,true,false
Billel,true,false
Billie,false,true
Billy,true,false
Binta,false,true
Bintou,false,true
Bixente,true,false
Bjorn,true,false
Blaise,true,false
Blanche,false,true
Blandine,false,true
Bleuenn,false,true
Bonnie,false,true
Boris,true,false
Boubacar,true,false
Bouchra,false,true
Bradley,true,false
Brahim,true,false
Brandon,true,false
Brayan,true,false
Brenda,false,true
Briac,true,false
Brian,true,false
Briana,false,true
Brianna,false,true
Brice,true,false
Brieuc,true,false
Brune,false,true
Bruno,true,false
Bryan,true,false
Burak,true,false
Byron,true,false
Caleb,true,false
Cali,false,true
Calie,false,true
Calista,false,true
Calixte,true,true
Callie,false,true
Calvin,true,false
Caly,false,true
Calypso,false,true
Camelia,false,true
Cameron,true,false
Camil,true,false
Camila,false,true
Camilia,false,true
Camilla,false,true
Camille,true,true
Camron,true,false
Candice,false,true
Candyce,false,true
Canelle,false,true
Cannelle,false,true
Capucine,false,true
Carl,true,false
Carla,false,true
Carlos,true,false
Carmen,false,true
Carole,false,true
Carolina,false,true
Caroline,false,true
Casey,true,true
Cassandra,false,true
Cassandre,false,true
Cassidy,false,true
Cassie,false,true
Cassiopee,false,true
Cassy,false,true
Castille,false,true
Cataleya,false,true
Catalina,false,true
Catherine,false,true
Cathy,false,true
Cayden,true,false
Cecile,false,true
Cecilia,false,true
Cedric,true,false
Celena,false,true
Celeste,false,true
Celestin,true,false
Celestine,false,true
Celia,false,true
Celian,true,false
Celiane,false,true
Celie,false,true
Celina,false,true
Celine,false,true
Celio,true,false
Celya,false,true
Celyan,true,false
Cerise,false,true
Cesar,true,false
Ceylin,false,true
Chadi,true,false
Chahid,true,false
Chahine,true,false
Chahinez,false,true
Chaima,false,true
Chaina,false,true
Chainez,false,true
Chakib,true,false
Chanel,false,true
Chanelle,false,true
Charlene,false,true
Charles,true,false
Charli,true,false
Charlie,true,true
Charline,false,true
Charlize,false,true
Charlotte,false,true
Charly,true,false
Charlyne,false,true
Chayma,false,true
Cheick,true,false
Cheikh,true,false
Cheima,false,true
Chelsea,false,true
Chelsy,false,true
Cherif,true,false
Cherine,false,true
Cheyenne,false,true
Chiara,false,true
Chirine,false,true
Chlea,false,true
Chloe,false,true
Chris,true,false
Christ,true,false
Christelle,false,true
Christian,true,false
Christina,false,true
Christine,false,true
Christophe,true,false
Christopher,true,false
Ciara,false,true
Cindy,false,true
Claire,false,true
Clara,false,true
Clarence,true,true
Clarisse,false,true
Clarysse,false,true
Claude,true,true
Claudia,false,true
Clayton,true,false
Clea,false,true
Clelia,false,true
Clelie,false,true
Clemence,false,true
Clement,true,false
Clementine,false,true
Cleo,false,true
Cleophee,false,true
Cloe,false,true
Clothilde,false,true
Clotilde,false,true
Clovis,true,false
Cody,true,false
Coleen,false,true
Colette,false,true
Colin,true,false
Coline,false,true
Colleen,false,true
Colline,false,true
Colombe,false,true
Colyne,false,true
Come,true,false
Constance,false,true
Constant,true,false
Constantin,true,false
Coralie,false,true
Coraline,false,true
Corentin,true,false
Corto,true,false
Coumba,false,true
Cristiano,true,false
Cristina,false,true
Crystal,false,true
Curtis,true,false
Cylia,false,true
Cynthia,false,true
Cyprien,true,false
Cyriaque,true,false
Cyrielle,false,true
Cyril,true,false
Cyrine,false,true
Dahlia,false,true
Daisy,false,true
Dalia,false,true
Dalil,true,false
Dalila,false,true
Dalya,false,true
Damian,true,false
Damien,true,false
Damla,false,true
Damon,true,false
Dan,true,false
Dana,false,true
Danae,false,true
Dani,true,false
Dania,false,true
Daniel,true,false
Daniela,false,true
Daniella,false,true
Danny,true,false
Dany,true,false
Danya,false,true
Daoud,true,false
Daouda,true,false
Daphne,false,true
Daphnee,false,true
Daren,true,false
Daria,false,true
Darine,false,true
Dario,true,false
Darius,true,false
Darren,true,false
Daryl,true,false
David,true,false
Davina,false,true
Davy,true,false
Dawson,true,false
Dayan,true,false
Dayana,false,true
Dayann,true,false
Dayna,false,true
Dean,true,false
Debora,false,true
Deborah,false,true
Defne,false,true
Delia,false,true
Delphine,false,true
Delya,false,true
Demba,true,false
Denis,true,false
Deniz,true,true
Deva,false,true
Devon,true,false
Diana,false,true
Diane,false,true
Diego,true,false
Dieynaba,false,true
Dilan,true,true
Dilara,false,true
Dimitri,true,false
Dimitry,true,false
Dina,false,true
Diogo,true,false
Divine,false,true
Djalil,true,false
Djamel,true,false
Djamil,true,false
Djamila,false,true
Djena,false,true
Djeneba,false,true
Djenna,false,true
Djennah,false,true
Djessy,true,true
Djibril,true,false
Djino,true,false
Djulian,true,false
Doha,false,true
Dolores,false,true
Dominique,true,true
Domitille,false,true
Donia,false,true
Donovan,true,false
Dora,false,true
Dorian,true,false
Doriane,false,true
Dorine,false,true
Doryan,true,false
Dounia,false,true
Driss,true,false
Duncan,true,false
Dune,false,true
Dwayne,true,false
Dylan,true,false
Dyna,false,true
Eda,false,true
Edan,true,false
Eddy,true,false
Edem,true,false
Eden,true,true
Edene,false,true
Edgar,true,false
Edith,false,true
Ediz,true,false
Edmond,true,false
Edouard,true,false
Edward,true,false
Edwin,true,false
Efe,true,false
Eglantine,false,true
Eileen,false,true
El,true,false
Ela,false,true
Elaia,false,true
Elana,false,true
Elea,false,true
Eleana,false,true
Eleane,false,true
Eleanor,false,true
Eleanore,false,true
Elena,false,true
Eleonor,false,true
Eleonore,false,true
Elhadj,true,false
Eli,true,false
Elia,false,true
Eliakim,true,false
Eliam,true,false
Elian,true,false
Eliana,false,true
Eliane,false,true
Elias,true,false
Eliaz,true,false
Elie,true,true
Eliel,true,false
Elies,true,false
Elif,false,true
Elijah,true,false
Elina,false,true
Eline,false,true
Elio,true,false
Elior,true,false
Eliora,false,true
Eliot,true,false
Eliott,true,false
Elisa,false,true
Elisabeth,false,true
Elise,false,true
Elissa,false,true
Eliya,false,true
Eliyah,true,true
Eliz,false,true
Eliza,false,true
Elizabeth,false,true
Ella,false,true
Ellie,false,true
Elliot,true,false
Elliott,true,false
Elly,false,true
Ellyn,false,true
Elma,false,true
Eloa,false,true
Eloan,true,false
Eloane,false,true
Eloann,true,true
Elodie,false,true
Elohim,true,false
Eloi,true,false
Eloise,false,true
Elon,true,false
Elona,false,true
Elora,false,true
Elouan,true,false
Elouane,true,true
Elouann,true,false
Elouen,true,false
Elsa,false,true
Elvin,true,true
Elvina,false,true
Elvira,false,true
Elvis,true,false
Elwan,true,false
Ely,true,true
Elya,false,true
Elyah,false,true
Elyam,true,false
Elyan,true,false
Elyana,false,true
Elyanna,false,true
Elyas,true,false
Elyes,true,false
Elyn,false,true
Elyna,false,true
Elyne,false,true
Elynn,false,true
Elyo,true,false
Elyott,true,false
Elysa,false,true
Elyse,false,true
Elyssa,false,true
Elza,false,true
Ema,false,true
Emanuel,true,false
Emeline,false,true
Emelyne,false,true
Emeraude,false,true
Emeric,true,false
Emerick,true,false
Emi,false,true
Emie,false,true
Emil,true,false
Emile,true,false
Emilia,false,true
Emilie,false,true
Emilien,true,false
Emilio,true,false
Emily,false,true
Emin,true,false
Emine,true,true
Emir,true,false
Emirhan,true,false
Emma,false,true
Emmanuel,true,false
Emmanuella,false,true
Emmanuelle,false,true
Emmie,false,true
Emmy,false,true
Emna,false,true
Emre,true,false
Emrys,true,false
Emy,false,true
Enael,true,false
Enaelle,false,true
Enaya,false,true
Enea,true,true
Eneko,true,false
Enes,true,false
Enguerrand,true,false
Enis,true,false
Ennio,true,false
Enoha,true,false
Enola,false,true
Enora,false,true
Enrique,true,false
Ensar,true,false
Enza,false,true
Enzo,true,false
Ephraim,true,false
Erdem,true,false
Erell,false,true
Eren,true,false
Eric,true,false
Erica,false,true
Erik,true,false
Erika,false,true
Erin,false,true
Erina,false,true
Erine,false,true
Ernest,true,false
Eros,true,false
Erva,false,true
Erwan,true,false
Erwann,true,false
Erwin,true,false
Eryn,false,true
Eryne,false,true
Esaie,true,false
Esila,false,true
Eslem,false,true
Esma,false,true
Esmee,false,true
Esmeralda,false,true
Esra,false,true
Esteban,true,false
Estelle,false,true
Esther,false,true
Etan,true,false
Ethan,true,false
Ethann,true,false
Ethel,false,true
Etienne,true,false
Eugene,true,false
Eugenie,false,true
Eulalie,false,true
Eunice,false,true
Eva,false,true
Evaelle,false,true
Evan,true,false
Evana,false,true
Evane,true,true
Evangeline,false,true
Evann,true,false
Evans,true,false
Eve,false,true
Even,true,false
Evie,false,true
Evy,false,true
Ewan,true,false
Ewann,true,false
Ewen,true,false
Ewenn,true,false
Eya,false,true
Eyad,true,false
Eyden,true,false
Eymen,true,false
Eytan,true,false
Eythan,true,false
Ezechiel,true,false
Ezekiel,true,false
Ezel,true,true
Ezequiel,true,false
Ezio,true,false
Ezra,true,false
Fabian,true,false
Fabien,true,false
Fabio,true,false
Fabrice,true,false
Fadi,true,false
Fael,true,false
Fahim,true,false
Faiza,false,true
Fanny,false,true
Fanta,false,true
Fantine,false,true
Fany,false,true
Farah,false,true
Farel,true,false
Farell,true,false
Fares,true,false
Farid,true,false
Faris,true,false
Farouk,true,false
Fatih,true,false
Fatiha,false,true
Fatim,false,true
Fatima,false,true
Fatima-Zahra,false,true
Fatimata,false,true
Fatma,false,true
Fatou,false,true
Fatoumata,false,true
Faustin,true,false
Faustine,false,true
Faycal,true,false
Felicia,false,true
Felicie,false,true
Felicien,true,false
Felix,true,false
Ferdinand,true,false
Feriel,false,true
Feryel,false,true
Feyza,false,true
Filip,true,false
Fiona,false,true
Firas,true,false
Firdaous,false,true
Firdaws,false,true
Firmin,true,false
Flavia,false,true
Flavian,true,false
Flavie,false,true
Flavien,true,false
Flavio,true,false
Flavy,false,true
Fleur,false,true
Flora,false,true
Flore,false,true
Florence,false,true
Florent,true,false
Florentin,true,false
Florian,true,false
Floriane,false,true
Florine,false,true
Fode,true,false
Fouad,true,false
Foucauld,true,false
France,false,true
Francesca,false,true
Francesco,true,false
Francis,true,false
Francisco,true,false
Franck,true,false
Francois,true,false
Frederic,true,false
Freya,false,true
Furkan,true,false
Gabin,true,false
Gabriel,true,false
Gabriela,false,true
Gabriele,true,true
Gabriella,false,true
Gabrielle,false,true
Gabryel,true,false
Gaby,true,true
Gael,true,false
Gaelle,false,true
Gaetan,true,false
Gaetane,false,true
Gaia,false,true
Garance,false,true
Gary,true,false
Gaspar,true,false
Gaspard,true,false
Gaston,true,false
Gatien,true,false
Gauthier,true,false
Gautier,true,false
Gennaro,true,false
Geoffrey,true,false
George,true,false
Georges,true,false
Georgia,false,true
Germain,true,false
Ghali,true,false
Ghjulia,false,true
Giani,true,false
Gianni,true,false
Gilles,true,false
Gina,false,true
Gino,true,false
Gioia,false,true
Giorgia,false,true
Giovani,true,false
Giovanna,false,true
Giovanni,true,false
Giovanny,true,false
Gisele,false,true
Giulia,false,true
Giulian,true,false
Giuliana,false,true
Giuliano,true,false
Giulio,true,false
Gladys,false,true
Glenn,true,false
Gloria,false,true
Goundo,false,true
Grace,false,true
Gregoire,true,false
Gregory,true,false
Guilhem,true,false
Guillaume,true,false
Guillemette,false,true
Gurvan,true,false
Gustave,true,false
Gwen,true,true
Gwenael,true,false
Gwenaelle,false,true
Gwendal,true,false
Gwendoline,false,true
Gwenn,true,true
Gwladys,false,true
Habib,true,false
Habiba,false,true
Haby,false,true
Hadja,false,true
Hadrien,true,false
Hafsa,false,true
Hailey,true,true
Hajar,false,true
Hakan,true,false
Hakim,true,false
Haley,false,true
Halil,true,false
Halim,true,false
Halima,false,true
Hamid,true,false
Hamidou,true,false
Hamza,true,false
Hana,false,true
Hanaa,false,true
Hanae,false,true
Hanane,false,true
Hania,false,true
Hanna,false,true
Hannah,false,true
Haris,true,false
Harmonie,false,true
Harmony,false,true
Harold,true,false
Haron,true,false
Harone,true,false
Haroun,true,false
Harouna,true,false
Harry,true,false
Harun,true,false
Hasan,true,false
Hasna,false,true
Hassan,true,false
Hatem,true,false
Hatice,false,true
Hatim,true,false
Hava,false,true
Hawa,false,true
Haya,false,true
Hayat,false,true
Hayden,true,false
Hazal,false,true
Hazel,false,true
Heather,false,true
Heaven,true,true
Hector,true,false
Hedi,true,false
Heidi,false,true
Helena,false,true
Helene,false,true
Helia,false,true
Helie,true,false
Helin,false,true
Helio,true,false
Helios,true,false
Heloise,false,true
Henri,true,false
Henry,true,false
Hermine,false,true
Hermione,false,true
Hiba,false,true
Hicham,true,false
Hichem,true,false
Hidaya,false,true
Hilal,true,true
Hilel,true,false
Hilona,false,true
Hina,false,true
Hind,false,true
Hippolyte,true,false
Hocine,true,false
Honore,true,false
Honorine,false,true
Hope,false,true
Hortense,false,true
Houcine,true,false
Houda,false,true
Hubert,true,false
Hugo,true,false
Hugues,true,false
Huseyin,true,false
Hussein,true,false
Ian,true,false
Ianis,true,false
Iban,true,false
Ibrahim,true,false
Ibrahima,true,false
Ibtissam,false,true
Ibtissem,false,true
Ida,false,true
Idir,true,false
Idris,true,false
Idriss,true,false
Idrissa,true,false
Igor,true,false
Ihsan,true,false
Ihsane,true,true
Ikram,true,true
Ilan,true,false
Ilana,false,true
Ilane,true,false
Ilann,true,false
Ilario,true,false
Ilayda,false,true
Ileana,false,true
Ilef,false,true
Ilena,false,true
Ilham,true,true
Ilhan,true,false
Ilhem,false,true
Ilian,true,false
Iliana,false,true
Iliane,true,false
Ilias,true,false
Ilies,true,false
Illan,true,false
Illona,false,true
Ilona,false,true
Ilyan,true,false
Ilyana,false,true
Ilyane,true,false
Ilyann,true,false
Ilyanna,false,true
Ilyas,true,false
Ilyass,true,false
Ilyes,true,false
Ilyess,true,false
Imad,true,false
Iman,true,true
Imane,false,true
Imani,true,true
Imanol,true,false
Imany,false,true
Imed,true,false
Imen,false,true
Imene,false,true
Imran,true,false
Imrane,true,false
Ina,false,true
Inaia,false,true
Inaya,false,true
Inayah,false,true
India,false,true
Ines,false,true
Iness,false,true
Ingrid,false,true
Inna,false,true
Insaf,false,true
Iona,false,true
Irem,false,true
Irene,false,true
Irina,false,true
Iris,false,true
Irys,false,true
Isaac,true,false
Isaak,true,false
Isabella,false,true
Isabelle,false,true
Isac,true,false
Isaia,true,false
Isaiah,true,false
Isaie,true,false
Isaline,false,true
Isalys,false,true
Isao,true,false
Isaure,false,true
Isayah,true,false
Isee,false,true
Ishak,true,false
Ishaq,true,false
Isia,false,true
Isis,false,true
Islam,true,true
Islem,true,true
Isleym,true,true
Ismael,true,false
Ismail,true,false
Isra,false,true
Israa,false,true
Israe,false,true
Israel,true,false
Issa,true,false
Issam,true,false
Issra,false,true
Ivan,true,false
Ivana,false,true
Ivann,true,false
Ivy,false,true
Iwan,true,false
Iwen,true,false
Iyad,true,false
Iyed,true,false
Izac,true,false
Izak,true,false
Izia,false,true
Jack,true,false
Jackson,true,false
Jacob,true,false
Jacques,true,false
Jad,true,false
Jade,false,true
Jaden,true,false
Jael,true,true
Jahid,true,false
Jahyan,true,false
Jalil,true,false
Jamal,true,false
James,true,false
Jamie,true,true
Jamil,true,false
Jamila,false,true
Jan,true,false
Jana,false,true
Jane,false,true
Janelle,false,true
Janice,false,true
Janis,true,true
Janna,false,true
Jannah,false,true
Jannat,false,true
Jarod,true,false
Jasmin,true,true
Jasmine,false,true
Jason,true,false
Jassem,true,false
Jassim,true,false
Jawad,true,false
Jawed,true,false
Jaya,false,true
Jayan,true,false
Jayden,true,false
Jayson,true,false
Jazz,true,true
Jean,true,false
Jean-Baptiste,true,false
Jean-Francois,true,false
Jeanne,false,true
Jed,true,false
Jefferson,true,false
Jehanne,false,true
Jelani,true,false
Jena,false,true
Jenifer,false,true
Jenna,false,true
Jennah,false,true
Jennifer,false,true
Jenny,false,true
Jennyfer,false,true
Jeremie,true,false
Jeremy,true,false
Jerome,true,false
Jesse,true,false
Jessica,false,true
Jessie,false,true
Jessim,true,false
Jessy,true,true
Jibril,true,false
Jihane,false,true
Jihene,false,true
Jim,true,false
Jimmy,true,false
Jinane,false,true
Joachim,true,false
Joakim,true,false
Joan,true,false
Joana,false,true
Joane,false,true
Joanna,false,true
Joanne,false,true
Joao,true,false
Joaquim,true,false
Jocelyn,true,false
Jodie,false,true
Joe,true,true
Joel,true,false
Joey,true,true
Joffrey,true,false
Johan,true,false
Johana,false,true
Johann,true,false
Johanna,false,true
Johanne,false,true
John,true,false
Johnny,true,false
Jolan,true,false
Jon,true,false
Jonah,true,false
Jonas,true,false
Jonathan,true,false
Jordan,true,false
Jordane,true,true
Jordy,true,false
Joris,true,false
Jorys,true,false
Jose,true,false
Joseph,true,false
Josephine,false,true
Josh,true,false
Joshua,true,false
Josselin,true,false
Josue,true,false
Joud,true,true
Joudia,false,true
Joumana,false,true
Joy,false,true
Joyce,false,true
Juan,true,false
Jude,true,true
Judicael,true,false
Judith,false,true
Jule,true,false
Julen,true,false
Jules,true,false
Julia,false,true
Julian,true,false
Juliana,false,true
Juliane,false,true
Juliann,true,false
Julianna,false,true
Julianne,false,true
Juliano,true,false
Julie,false,true
Julien,true,false
Juliette,false,true
Juline,false,true
Julio,true,false
Julya,false,true
Julyan,true,false
Junayd,true,false
June,false,true
Junior,true,false
Justin,true,false
Justine,false,true
Kaan,true,false
Kadiatou,false,true
Kadidiatou,false,true
Kadidja,false,true
Kadir,true,false
Kael,true,false
Kaelys,false,true
Kahil,true,false
Kahina,false,true
Kahyl,true,false
Kaila,false,true
Kaily,false,true
Kaina,false,true
Kais,true,false
Kaiss,true,false
Kaissy,false,true
Kali,false,true
Kalie,false,true
Kalvin,true,false
Kaly,false,true
Kamel,true,false
Kamelia,false,true
Kamelya,false,true
Kameron,true,false
Kamil,true,false
Kamila,false,true
Kamilia,false,true
Kamilya,false,true
Kaoutar,false,true
Kara,false,true
Karam,true,false
Karamba,true,false
Karel,true,false
Karen,false,true
Karim,true,false
Karima,false,true
Karine,false,true
Karl,true,false
Karla,false,true
Kassandra,false,true
Kassim,true,false
Kassy,false,true
Kataleya,false,true
Katarina,false,true
Kate,false,true
Katell,false,true
Kathleen,false,true
Katia,false,true
Kawtar,false,true
Kawthar,false,true
Kayden,true,false
Kayla,false,true
Kaylan,true,false
Kaylee,false,true
Kaylia,false,true
Kayliah,false,true
Kaylie,false,true
Kayna,false,true
Kayron,true,false
Kays,true,false
Kaysan,true,false
Keila,false,true
Keira,false,true
Keissy,false,true
Kelia,false,true
Kelian,true,false
Kelio,true,false
Kellian,true,false
Kelly,false,true
Kellya,false,true
Kelsy,false,true
Kelvin,true,false
Kelya,false,true
Kelyan,true,false
Kelyana,false,true
Kelyann,true,false
Kelyo,true,false
Kenael,true,false
Kenan,true,false
Kendji,true,false
Kendra,false,true
Kendrick,true,false
Kenji,true,false
Kenjy,true,false
Kenny,true,false
Kentin,true,false
Keny,true,false
Kenza,false,true
Kenzi,true,false
Kenzo,true,false
Kenzy,true,true
Keo,true,false
Keran,true,false
Kerem,true,false
Keren,false,true
Kerian,true,false
Kerim,true,false
Keryan,true,false
Kessy,false,true
Ketsia,false,true
Kevan,true,false
Kevin,true,false
Kewan,true,false
Keyden,true,false
Keyla,false,true
Keylan,true,false
Keylia,false,true
Keylian,true,false
Keyron,true,false
Kezia,true,true
Keziah,true,true
Khadidja,false,true
Khadija,false,true
Khady,false,true
Khaled,true,false
Khalid,true,false
Khalil,true,false
Khalis,true,false
Khalissa,false,true
Kheira,false,true
Khloe,false,true
Kiara,false,true
Kieran,true,false
Kilian,true,false
Killian,true,false
Killyan,true,false
Kilyan,true,false
Kim,true,true
Kimberley,false,true
Kimberly,false,true
Kimi,true,true
Kimia,false,true
Kimy,true,true
Kimya,false,true
Kinan,true,false
Kingsley,true,false
Kinsley,true,true
Kira,false,true
Kiyan,true,false
Klara,false,true
Klea,false,true
Klervi,false,true
Kloe,false,true
Kris,true,false
Kristen,true,true
Krystal,false,true
Kurtis,true,false
Kurtys,true,false
Kyan,true,false
Kyara,false,true
Kylan,true,false
Kyle,true,false
Kylian,true,false
Kyliane,true,false
Kyliann,true,false
Kylie,false,true
Kyllian,true,false
Kyra,false,true
Ladji,true,false
Lael,true,false
Laeticia,false,true
Laetitia,false,true
Lahna,false,true
Laia,false,true
Laila,false,true
Laina,false,true
Lais,true,true
Lalie,false,true
Laly,false,true
Lalya,false,true
Lamia,false,true
Lamine,true,false
Lamya,false,true
Lana,false,true
Lancelot,true,false
Landry,true,false
Lanna,false,true
Laora,false,true
